method,k,silhouette,bss_tss_ratio,BSS,TSS,n_clusters_actual
KMeans,2,0.3227,38.14,95.4799,250.3162,2
KMedoids,2,0.3054,36.21,90.6514,250.3162,2
FCM,2,0.3227,38.14,95.4799,250.3162,2
PCM,2,0.1309,14.98,37.4918,250.3162,2
FPCM,2,0.3227,38.14,95.4799,250.3162,2
MFPCM,2,0.3227,38.14,95.4799,250.3162,2
KMeans,3,0.3249,55.32,138.4825,250.3162,3
KMedoids,3,0.2513,47.82,119.7078,250.3162,3
FCM,3,0.3043,53.58,134.1198,250.3162,3
PCM,3,0.1309,14.98,37.4918,250.3162,2
FPCM,3,0.3043,53.58,134.1198,250.3162,3
MFPCM,3,0.3043,53.58,134.1198,250.3162,3
KMeans,4,0.3345,67.13,168.048,250.3162,4
KMedoids,4,0.3247,65.98,165.1614,250.3162,4
FCM,4,0.3369,67.28,168.4196,250.3162,4
PCM,4,0.1093,44.8,112.1475,250.3162,4
FPCM,4,0.326,66.15,165.589,250.3162,4
MFPCM,4,0.2801,60.21,150.7197,250.3162,4
KMeans,5,0.3485,74.46,186.3745,250.3162,5
KMedoids,5,0.2598,68.98,172.671,250.3162,5
FCM,5,0.3485,74.46,186.3745,250.3162,5
PCM,5,-0.0304,25.13,62.9132,250.3162,5
FPCM,5,0.2673,69.92,175.0321,250.3162,5
MFPCM,5,0.2451,56.88,142.3679,250.3162,4
KMeans,6,0.3297,78.68,196.9411,250.3162,6
KMedoids,6,0.1583,70.99,177.6969,250.3162,6
FCM,6,0.3273,78.47,196.4311,250.3162,6
PCM,6,0.0583,44.46,111.3002,250.3162,6
FPCM,6,0.3238,78.37,196.1644,250.3162,6
MFPCM,6,0.2839,51.68,129.371,250.3162,3
KMeans,7,0.3107,81.21,203.2792,250.3162,7
KMedoids,7,0.2069,74.3,185.9887,250.3162,7
FCM,7,0.3243,81.9,205.0169,250.3162,7
PCM,7,-0.0246,60.3,150.938,250.3162,6
FPCM,7,0.2574,80.06,200.3922,250.3162,7
MFPCM,7,0.2839,51.68,129.371,250.3162,3
KMeans,8,0.3216,83.85,209.8997,250.3162,8
KMedoids,8,0.2713,81.55,204.1343,250.3162,8
FCM,8,0.2937,82.79,207.2478,250.3162,8
PCM,8,0.0843,61.87,154.8732,250.3162,6
FPCM,8,0.2732,80.04,200.3512,250.3162,7
MFPCM,8,0.3227,38.14,95.4799,250.3162,2
KMeans,9,0.317,86.17,215.6877,250.3162,9
KMedoids,9,0.266,84.59,211.754,250.3162,9
FCM,9,0.261,83.73,209.6019,250.3162,9
PCM,9,0.0687,61.04,152.7974,250.3162,6
FPCM,9,0.2592,79.96,200.165,250.3162,7
MFPCM,9,0.3227,38.14,95.4799,250.3162,2
KMeans,10,0.3183,88.42,221.331,250.3162,10
KMedoids,10,0.2713,86.2,215.7717,250.3162,10
FCM,10,0.2476,86.61,216.8029,250.3162,10
PCM,10,0.2244,79.35,198.6234,250.3162,8
FPCM,10,0.1593,80.28,200.9423,250.3162,8
MFPCM,10,0.3227,38.14,95.4799,250.3162,2
