,PC1,PC2,PC3,PC4
nilai ips,0.45754216234331946,-0.02726698396655601,-0.10739394210394249,-0.06300027692703286
IPS,0.4338671548510402,-0.04229234662653307,-0.1836067861465182,0.04456785834878342
IPS.1,0.42715807039427184,-0.11825393483586275,0.05245006910647368,-0.2107385551208007
IPS.2,0.44565523119693623,0.01181666449120193,-0.11081096371750368,-0.16128645973061603
Rata-Rata IPS,0.4030741747931741,-0.0942324254062548,-0.0842661905578631,0.5199756093030014
Rata-Rata Absen Mahasiswa,0.08594537235156614,0.45843681818983895,-0.05919225169639806,-0.4750775177845983
ABSENSI RATA RATA,0.14697061296787867,0.40641377713326987,0.4421270809505485,0.09738861923217108
ABSENSI RATA_RATA,0.04882278858485366,0.4920066453476872,-0.15431971659435306,-0.2451400850007325
ABSENSI RATA RATA.1,-0.012820412075990877,0.378450004233819,-0.21394583223507077,0.5321658734747101
ABSENSI RATA RATA.2,-0.044500166201538245,0.4515823095748618,-0.1896854382093366,0.24851056567003216
JK,0.15924135295376207,0.0995313555257741,0.792512574714107,0.11406623364179386
Angkatan Tahun,0.0,0.0,0.0,0.0
